TournamentId,TournamentName,GameId,GameName,Location,CountryName,CountryCode,StartDate,EndDate,TotalUSDPrize,latitude,longitude,year,TournamentsByCountry,TournamentsByGame
27702,Fight Pitt 8 (Doubles),204,Super Smash Bros. Melee,"Pittsburgh, Pennsylvania",,,07/04/2018,07/04/2018,1240.0,,,2018.0,0,114
27701,Fight Pitt 8 (Singles),204,Super Smash Bros. Melee,"Pittsburgh, Pennsylvania",,,07/04/2018,07/04/2018,2220.0,,,2018.0,0,114
46411,Kayzr League Spring 2018 (LoL),164,League of Legends,Online,,,19/02/2018,07/04/2018,4914.56,,,2018.0,0,192
27459,Noods Noods Noods: Oakland Edition (SSBM),204,Super Smash Bros. Melee,"Oakland, California, USA",United States,US,07/04/2018,07/04/2018,5820.0,45.6875333395,-112.494333916,2018.0,350,114
38698,PRL Rivals EU Cup #48,409,Rocket League,Online,Puerto Rico,PR,07/04/2018,07/04/2018,150.0,18.2238457179,-66.4663845764,2018.0,14,283
50827,Swiss Esports League - Winter Season 2018,409,Rocket League,Online,,,05/02/2018,07/04/2018,1094.94,,,2018.0,0,283
27361,VCS Spring 2018,164,League of Legends,"Ho Chi Minh City, Vietnam (Playoffs) / Online",Serbia and Montenegro,CS,18/01/2018,07/04/2018,56420.0,,,2018.0,428,192
27351,King of Nordic - Season 10: Week #10,245,Counter-Strike: Global Offensive,Online,,,06/04/2018,06/04/2018,614.95,,,2018.0,0,1018
29637,ECS Spring 2018,164,League of Legends,"Taipeh, Taiwan",Serbia and Montenegro,CS,16/01/2018,05/04/2018,17000.0,,,2018.0,428,192
28298,King of Spandau #49,164,League of Legends,Online (Twitch),,,05/04/2018,05/04/2018,367.31,,,2018.0,0,192
33648,ESEA NA CS:GO Main Season 30 - Playoffs,245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,20/03/2018,04/04/2018,9000.0,,,2018.0,428,1018
27482,ESL Frühlingsmeisterschaft 2018 - Division 3 (CS:GO),245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,28/03/2018,04/04/2018,2500.0,,,2018.0,428,1018
27310,CSGO.NET Cup 2,245,Counter-Strike: Global Offensive,Online,Ethiopia,ET,12/02/2018,03/04/2018,29825.0,8.62300299107,39.600671832,2018.0,23,1018
27315,Liga Profissional Alienware Gamers Club: March 2018,245,Counter-Strike: Global Offensive,Online,,,06/03/2018,03/04/2018,2244.75,,,2018.0,0,1018
27655,OlimoLeague Week #117,151,StarCraft II,Online,,,03/04/2018,03/04/2018,200.0,,,2018.0,0,458
27512,Afreeca World Invitational #12,151,StarCraft II,Online,,,02/04/2018,02/04/2018,200.0,,,2018.0,0,458
27309,Bets.net Challenger Series: Season 1 - Playoffs,245,Counter-Strike: Global Offensive,Online,,,13/03/2018,02/04/2018,10000.0,,,2018.0,0,1018
27255,CS:GO Asia Summit,245,Counter-Strike: Global Offensive,"Shanghai, China",China,CN,02/04/2018,02/04/2018,60000.0,36.5602062669,103.831751251,2018.0,151,1018
27477,Gamers Assembly 2018 (LoL),164,League of Legends,"Poitiers, France",France,FR,31/03/2018,02/04/2018,24639.4,42.1820291785,-2.75442214946,2018.0,67,192
36382,i62 (RL),409,Rocket League,"Birmingham, United Kingdom",United Kingdom,GB,30/03/2018,02/04/2018,4209.43,54.1454903122,-2.88594273633,2018.0,24,283
27256,Dust2.us Masters #2,245,Counter-Strike: Global Offensive,Online,,,31/03/2018,01/04/2018,1500.0,,,2018.0,0,1018
27349,ESEA AU CS:GO MDL Season 27 - Playoffs,245,Counter-Strike: Global Offensive,Online,Australia,AU,30/03/2018,01/04/2018,6000.0,-25.7323831126,134.491117773,2018.0,115,1018
32938,FPL-C NA #1 2018 (CS:GO),245,Counter-Strike: Global Offensive,Online,Poland,PL,09/03/2018,01/04/2018,3000.0,52.1248371866,19.3943576278,2018.0,91,1018
27250,Gamers Assembly 2018 (CS:GO),245,Counter-Strike: Global Offensive,"Poitiers, France",Serbia and Montenegro,CS,30/03/2018,01/04/2018,6159.85,,,2018.0,428,1018
27476,Gamers Assembly 2018 (RL),409,Rocket League,"Poitiers, France",France,FR,31/03/2018,01/04/2018,2956.73,42.1820291785,-2.75442214946,2018.0,67,283
27475,Gamers Assembly 2018 (SC2),151,StarCraft II,"Poitiers, France",Seychelles,SC,31/03/2018,01/04/2018,1971.16,,,2018.0,76,458
27257,Go4CS:GO EU #297,245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,01/04/2018,01/04/2018,123.31,,,2018.0,428,1018
27644,Go4SC2 EU #765,151,StarCraft II,online,Seychelles,SC,01/04/2018,01/04/2018,119.6,,,2018.0,76,458
27339,Hitpoint Masters Season 9,164,League of Legends,"Svitavy, Czech Republic",Czech Republic,CZ,27/02/2018,01/04/2018,3377.5,49.7324459146,15.3140847769,2018.0,13,192
27350,i62 (CS:GO),245,Counter-Strike: Global Offensive,"Birmingham, England, United Kingdom",Serbia and Montenegro,CS,30/03/2018,01/04/2018,10523.25,,,2018.0,428,1018
27603,i62 (LoL),164,League of Legends,"Birmingham, England, United Kingdom",United Kingdom,GB,31/03/2018,01/04/2018,7015.52,54.1454903122,-2.88594273633,2018.0,24,192
27340,LCL Spring 2018,164,League of Legends,"Offline, Russia",Chile,CL,10/02/2018,01/04/2018,86400.0,-37.7346256717,-71.3627814168,2018.0,11,192
27604,Nordic Championship Spring 2018,164,League of Legends,Online/Offline,,,06/03/2018,01/04/2018,23100.0,,,2018.0,0,192
27460,Respawn 6: Melee (Doubles),204,Super Smash Bros. Melee,"Mainz, Germany",Germany,DE,31/03/2018,01/04/2018,394.28,51.1062734358,10.3817108727,2018.0,76,114
27458,Respawn 6: Melee (Singles),204,Super Smash Bros. Melee,"Mainz, Germany",Germany,DE,31/03/2018,01/04/2018,1170.52,51.1062734358,10.3817108727,2018.0,76,114
28674,SC2Online OSC Masters Cup #110,151,StarCraft II,Online,Seychelles,SC,27/03/2018,01/04/2018,850.0,,,2018.0,76,458
27344,The Gathering 2018 (CS:GO),245,Counter-Strike: Global Offensive,"Hamar, Norway",Norway,NO,28/03/2018,01/04/2018,5291.25,68.7958281693,15.4107026868,2018.0,32,1018
27345,The Gathering 2018 (LoL),164,League of Legends,"Hamar, Norway",Norway,NO,28/03/2018,01/04/2018,4462.5,68.7958281693,15.4107026868,2018.0,32,192
